obj,endobj,stream,endstream,xref,trailer,startxref,Page,Encrypt,ObjStm,JS,Javascript,AA,OpenAction,AcroForm,JBIG2Decode,RichMedia,Launch,EmbeddedFile,XFA,Colors,Malicious
9,9,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,yes
34,34,10,10,2,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,no
114,114,108,108,0,0,5,2,0,15,0,0,0,0,2,0,0,0,0,0,0,no
6,6,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,no
8,8,2,2,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,yes
8,8,2,2,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,yes
19,19,9,9,1,1,1,1,0,0,0,0,0,0,1,0,0,0,8,1,0,yes
8,8,2,2,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,yes
8,8,2,2,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,yes
42,42,13,13,2,2,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,no
9,9,2,2,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,yes
131,131,128,128,0,0,2,1,0,6,0,0,0,0,0,0,0,0,0,0,0,no
13,13,2,2,1,1,1,1,0,0,2,3,0,1,1,0,0,0,0,0,0,yes
54,54,23,23,2,2,2,7,0,8,0,0,0,0,0,0,0,0,0,0,0,no
17,17,3,3,1,1,1,1,0,0,2,3,0,0,1,0,0,0,0,0,0,yes
9,9,3,3,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,yes
17,17,3,3,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,no
